City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
2,Hithadhoo,MV,79.95,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Jamestown,US,78.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Alugan,PH,80.49,overcast clouds,12.2188,125.4808,JM Lodge
13,Moussoro,TD,77.49,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
14,Eyl,SO,76.12,broken clouds,7.9803,49.8164,Amiin Hotel
16,Alibag,IN,80.67,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
26,Butaritari,KI,83.75,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
29,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
30,Batticaloa,LK,78.6,overcast clouds,7.7102,81.6924,Grand Star Guest House
36,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Carauari,BR,79.5,broken clouds,-4.8828,-66.8958,Hotel Fellip
43,Lethem,GY,76.96,overcast clouds,3.3803,-59.7968,Savannah Inn
45,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
54,Conceicao Do Araguaia,BR,82.53,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
55,Korla,CN,76.14,overcast clouds,41.7597,86.1469,Gulisitan Hotel
62,Metro,ID,76.64,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
65,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
68,Leiyang,CN,83.23,overcast clouds,26.4024,112.8591,Dongyang Hotel
73,Talagang,PK,84.96,few clouds,32.9297,72.4158,Sajid Iqbal Manzil
76,Hirara,JP,80.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
80,Bandarbeyla,SO,76.55,broken clouds,9.4942,50.8122,JABIR HOTEL
81,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
90,Hambantota,LK,78.4,overcast clouds,6.1241,81.1185,Bungalow 63
93,Port Blair,IN,81.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
94,Hami,CN,80.08,overcast clouds,42.8,93.45,Laoyutang Resort
108,Dhidhdhoo,MV,82.17,overcast clouds,6.8833,73.1,Dhidhoo beach
109,Sola,VU,75.87,light rain,-13.8833,167.55,Leumerus Bungalows
118,Xinmin,CN,77.25,light rain,41.9908,122.8253,Agricultural Machinery Hotel
119,Bubaque,GW,76.87,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
121,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
124,Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
129,Faanui,PF,79.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Sakaiminato,JP,80.58,broken clouds,35.55,133.2333,味処・民宿 まつや
134,Matara,LK,76.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
136,Tripoli,LY,84.88,clear sky,32.8752,13.1875,Hotel Al-Safwa
137,Komsomolskiy,UZ,76.42,clear sky,40.4272,71.7189,Ikathouse
140,Nguru,NG,78.57,scattered clouds,12.8791,10.4526,Government Lodge
142,Chabahar,IR,81.3,few clouds,25.2919,60.643,هتل گدروشیا
145,Marsh Harbour,BS,83.66,few clouds,26.5412,-77.0636,Abaco Beach Resort
148,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
152,Auki,SB,84.18,scattered clouds,-8.7676,160.7034,Auki Motel
153,Monroe,US,80.98,broken clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
157,Wanning,CN,84.13,overcast clouds,18.8003,110.3967,Paradise Hotel
158,Gigmoto,PH,84.34,overcast clouds,13.7796,124.39,Cj's Travellers Inn
168,Itarema,BR,79.38,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
170,Kudahuvadhoo,MV,82.67,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
171,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
172,Tsevie,TG,76.08,overcast clouds,6.4261,1.2133,Hotel Melissa
188,Bethel,US,76.08,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
189,Acarau,BR,79.39,few clouds,-2.8856,-40.12,castelo pizzaria
196,Hengyang,CN,83.77,overcast clouds,26.8881,112.615,Honglin Guesthouse
197,Portland,US,80.38,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
201,Dingle,PH,77.41,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
202,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
203,Lengshuitan,CN,84.11,overcast clouds,26.4111,111.5956,Jialong Hotel
212,Urucara,BR,82.99,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
216,Qinzhou,CN,84.83,moderate rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
222,San Andres,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
223,Havelock,US,84.15,clear sky,34.8791,-76.9013,Sherwood Motel
225,Bengkulu,ID,76.37,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
228,Broome,US,78.35,scattered clouds,42.2506,-75.833,Chenango Valley State Park
229,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
232,Yanam,IN,82.45,overcast clouds,16.7333,82.2167,The Regency Hotel
237,Namatanai,PG,83.64,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
239,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
240,Constantine,DZ,76.41,clear sky,36.365,6.6147,Grand Hotel Cirta
242,Seoul,KR,83.59,clear sky,37.5683,126.9778,롯데호텔 서울
243,Jalu,LY,84.09,clear sky,29.0331,21.5482,صاحبة الفخامة
248,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
255,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
258,Tomatlan,MX,80.47,broken clouds,19.9333,-105.25,El Salvial
260,Yima,CN,76.03,light rain,34.7381,111.8839,Yima Hotel
261,Vejalpur,IN,81.52,overcast clouds,22.6833,73.5667,कोहिनूर हेर
263,Batagay,RU,77.77,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
264,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
265,Kochi,IN,75.18,overcast clouds,9.9399,76.2602,Hotel Abad
271,San-Pedro,CI,75.22,light rain,4.7485,-6.6363,Hotel Maria
