City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aykhal,RU,66,111.5,58.73,62,10,2.21,clear sky
1,Atuona,PF,-9.8,-139.0333,77.68,79,23,21.27,light rain
2,Hithadhoo,MV,-0.6,73.0833,79.95,76,98,4.59,overcast clouds
3,Umm Lajj,SA,25.0213,37.2685,87.17,70,0,3.83,clear sky
4,New Norfolk,AU,-42.7826,147.0587,53.92,79,40,1.99,scattered clouds
5,Jamestown,US,42.097,-79.2353,78.44,73,1,5.75,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,41.11,75,90,11.5,overcast clouds
7,Alugan,PH,12.2188,125.4808,80.49,80,100,3.49,overcast clouds
8,Honiara,SB,-9.4333,159.95,83.88,,91,4.65,overcast clouds
9,Nikolskoye,RU,59.7035,30.7861,63.01,97,99,4.92,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,74.43,76,1,11.83,clear sky
11,Ayacucho,PE,-13.1583,-74.2239,69.66,23,0,10.36,clear sky
12,Bluff,NZ,-46.6,168.3333,39.79,82,96,15.9,overcast clouds
13,Moussoro,TD,13.6408,16.4901,77.49,74,67,12.26,broken clouds
14,Eyl,SO,7.9803,49.8164,76.12,82,57,22.66,broken clouds
15,Busselton,AU,-33.65,115.3333,53.1,62,100,20.85,overcast clouds
16,Alibag,IN,18.6411,72.8792,80.67,84,75,5.3,broken clouds
17,Natchez,US,31.5604,-91.4032,91.62,60,1,8.05,clear sky
18,Krasnouralsk,RU,58.3638,60.0407,52.11,97,34,3.74,scattered clouds
19,Pevek,RU,69.7008,170.3133,37.54,81,27,10.87,scattered clouds
20,San Quintin,MX,30.4833,-115.95,72.37,67,12,9.93,few clouds
21,Cidreira,BR,-30.1811,-50.2056,60.22,91,1,10.69,clear sky
22,Bira,RU,49,132.4667,54.12,83,100,4.79,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,39.47,97,91,5.5,overcast clouds
24,Antanifotsy,MG,-19.65,47.3167,48.58,90,45,2.84,scattered clouds
25,Salinas,US,36.6777,-121.6555,89.42,,0,8.57,clear sky
26,Butaritari,KI,3.0707,172.7902,83.75,60,46,11.32,scattered clouds
27,Sault Sainte Marie,CA,46.5168,-84.3333,73.69,80,40,6.91,scattered clouds
28,Barrow,US,71.2906,-156.7887,39.22,86,90,10.36,overcast clouds
29,Port-Gentil,GA,-0.7193,8.7815,75.16,94,75,6.91,broken clouds
30,Batticaloa,LK,7.7102,81.6924,78.6,81,100,3.53,overcast clouds
31,Ostrovnoy,RU,68.0531,39.5131,49.24,79,0,8.19,clear sky
32,Constitucion,CL,-35.3333,-72.4167,48.25,72,100,2.62,overcast clouds
33,Albany,US,42.6001,-73.9662,79.45,73,22,5.41,few clouds
34,Carnarvon,AU,-24.8667,113.6333,64.47,76,90,6.91,overcast clouds
35,Healdsburg,US,38.6105,-122.8692,98.91,50,0,1.99,clear sky
36,Hilo,US,19.7297,-155.09,82.13,57,90,10.36,overcast clouds
37,Honningsvag,NO,70.9821,25.9704,55.13,74,13,13.82,few clouds
38,Carauari,BR,-4.8828,-66.8958,79.5,61,72,2.28,broken clouds
39,Cape Town,ZA,-33.9258,18.4232,55.11,92,75,4,light rain
40,Clyde River,CA,70.4692,-68.5914,44.83,87,90,13.8,overcast clouds
41,Valparaiso,CL,-33.0393,-71.6273,53.24,82,20,3.44,few clouds
42,Margate,GB,51.3813,1.3862,59.31,85,53,4,broken clouds
43,Lethem,GY,3.3803,-59.7968,76.96,88,100,2.82,overcast clouds
